,latin_maxim,translation,description
520,experto crede,'trust the expert',Literally 'believe one who has had experience'. An author's aside to the reader.
521,expressio unius est exclusio alterius,'the expression of the one is the exclusion o,"'Mentioning one thing may exclude another thing'. A principle of legal statutory interpretation: the explicit presence of a thing implies intention to exclude others; e.g., a reference in the Poor Relief Act 1601 to 'lands, houses, tithes and coal mines' was held to exclude mines other than coal mines. Sometimes expressed as expressum facit cessare tacitum (broadly, 'the expression of one thing excludes the implication of something else')."
522,extant,'still in existence; surviving',adjective: 
523,,,
524,,,"extant law is still existing, in existence, existent, surviving, remaining, undestroyed. Usage, when a law is repealed the extant law governs."
525,extra domus,'(placed) outside of the house',Refers to a possible result of Catholic ecclesiastical legal proceedings when the culprit is removed from being part of a group like a monastery.
526,Extra Ecclesiam nulla salus,'Outside the Church there is no salvation',"This expression comes from the writings of Saint Cyprian of Carthage, a bishop of the third century. It is often used to summarise the doctrine that the Catholic Church is absolutely necessary for salvation."
527,Extra omnes,"'Out, all of you.'","It is issued by the Master of the Papal Liturgical Celebrations before a session of the Papal Conclave which will elect a new Pope. When spoken, all those who are not Cardinals, or those otherwise mandated to be present at the Conclave, must leave the Sistine Chapel."
528,extra territorium jus dicenti impune non paretur,'he who administers justice outside of his te,Refers to extraterritorial jurisdiction. Often cited in law of the sea cases on the high seas.
529,Faber est suae quisque fortunae,Every man is the artisan of his own fortune,"Appius Claudius Caecus. Motto of Fort Street High School in Petersham, Sydney , Australia."
530,fac fortia et patere,do brave deeds and endure,"Motto of Prince Alfred College in Adelaide, Australia."
531,fac simile,make a similar thing,"Origin of the word facsimile, and, through it, of fax."
532,"facta, non verba","actions, not words","Motto of United States Navy Destroyer Squadron 22 and Joint Task Force 2, Star of the Sea College, Convent of Holy Child Jesus School, Layton Hill, Blackpool, and Southwood Boys' Grammar School in Ringwood, Victoria, Australia and Fred Longworth High School in Tyldesley, Greater Manchester, in England."
533,"falsus in uno, falsus in omnibus","false in one thing, false in everything",A Roman legal principle indicating that a witness who willfully falsifies one matter is not credible on any matter. The underlying motive for attorneys to impeach opposing witnesses in court: the principle discredits the rest of their testimony if it is without corroboration.
534,felo de se,felon from himself,"An archaic legal term for one who commits suicide, referring to early English common law punishments, such as land seizure, inflicted on those who killed themselves."
535,fere libenter homines id quod volunt credunt,men generally believe what they want to,"People's beliefs are shaped largely by their desires. Julius Caesar, The Gallic War 3.18"
536,festina lente,hurry slowly,"An oxymoronic motto of Augustus. It encourages proceeding quickly, but with calm and caution. Equivalent to 'More haste, less speed'. Motto of The Madeira School, McLean, Virginia."
537,fiat iustitia et pereat mundus,"let justice be done, and the world shall peri","Motto of Ferdinand I, Holy Roman Emperor."
538,fiat justitia ruat caelum,let justice be done should the sky fall,Attributed to Lucius Calpurnius Piso Caesoninus.
539,fiat lux,let light be made,"Less literally, ""let light arise"" or ""let there be light"" (cf. lux sit). From the Latin translation of Genesis, ""dixitque Deus fiat lux et facta est lux"" (and God said, 'Let light be made', and light was made). The motto of Parkland Composite High School, the University of California, University of Washington, Clark University, Waynesburg University, Angelo State University, University of Lethbridge, Rollins College, Hiram College, Alfred University and Kitsilano Secondary School. It is also the motto of the Conservatorium High School in Sydney, Australia. It is incorporated into the logo of the University of Liverpool and Emmanuel College at the University of Queensland."
540,Fiat Voluntas Dei,May God's will be done,
541,Fiat Voluntas Tua,Thy will be done,The motto of Archbishop Richard Smith of the Roman Catholic Archdiocese of Edmonton.
542,Fidei Defensor (Fid Def) or (fd),Defender of the Faith,"A title given to Henry VIII of England by Pope Leo X on October 17, 1521 before Henry became a heresiarch. Still used by the British monarchs, it appears on all British coins, usually abbreviated."
543,fidem scit,"""He knows the faith""","Sometimes mistranslated to ""Keep the faith"", when used in contemporary English-language writings of all kinds to convey a light-hearted wish for the reader's well-being. The humor comes from the phrase's similarity in pronunciation to the words ""Feed 'em shit""."
544,fides qua creditur,the faith by which it is believed,"the personal faith which apprehends, contrasted with fides quae creditur"
545,fides quae creditur,"""the faith which is believed","the content of ""the faith,"" contrasted with fides qua creditur"
546,fides quaerens intellectum,"""faith seeking understanding","the motto of Saint Anselm, found in his Proslogion"
547,fidus Achates,faithful Achates,A faithful friend. From the name of Aeneas's faithful companion in Virgil's Aeneid.
548,finis vitae sed non amoris,The end of Life is not the end of Love,
549,omnibus locis fit caedes,Let there be slaughter everywhere,"Julius Caesar's The Gallic War, 7.67"
550,flagellum dei,scourge of god,"Referred to Attila the Hun, when he led his armies to invade the Western Roman Empire."
551,"flectere si nequeo superos, Achaeronta movebo",If I cannot move heaven I will raise hell,Virgil's Aeneid - Book 7
552,floreat etona,May Eton Flourish,Motto of Eton College
553,floruit (fl.),one flourished,Indicates the period when a historical figure whose birth and death dates are unknown was most active.
554,fluctuat nec mergitur,she wavers and is not immersed,Motto of Paris.
555,fons et origo,the spring and source,"""The fountainhead and beginning"". The source and origin."
556,fortes fortuna adiuvat,Fortune favours the bold,
557,fortes in fide,strong in faith,"""Fortes in Fide"" is the Motto of Ateneo de Davao University. Used ""Fortiores in Fide""(Stronger in Faith) during the 50th Anniversary in 1998]"
558,"fortis cadere, cedere non potest","The brave may fall, but cannot yield",Motto of Fahnestock Family Arms.
559,fortis est veritas,truth is strong,"Motto on the coat of arms of Oxford, England."
560,fortis et liber,strong and free,Motto of Alberta.
561,fortiter et fideliter,bravely and faithfully,"Motto of The King's School, Sydney."
562,G,,
563,Latin,Translation,Notes
564,gaudeamus hodie,let us rejoice today,
565,gaudeamus igitur,therefore let us rejoice,"First words of a famous academic anthem used, among other places, in The Student Prince."
566,gaudium in veritate,joy in truth,
567,generalia specialibus non derogant,universal things do not detract from specific,"A principle of legal statutory interpretation: If a matter falls under a specific provision and a general provision, it shall be governed by the specific provision."
568,genius loci,spirit of place,"The unique, distinctive aspects or atmosphere of a place, such as those celebrated in art, stories, folk tales, and festivals. Originally, the genius loci was literally the protective spirit of a place, a creature usually depicted as a snake."
569,gesta non verba,Deeds not words,Motto of James Ruse Agricultural High School.
